Company,employees,anrv,latest,date
Gozio,51,5000000,1700000,42074
Taloflow (YC W21),7,1000000,1489380,44256
DocStation,23,2000000,3100000,44299
"Partender - Bar Inventory, Ordering, and Accounting in 15 Minutes",16,3276000,2000000,42446
SHOPTIQUES,18,3000000,2000000,41186
"Patient Pattern, Inc",24,2400000,2000000,44621
"Amicus, Inc.",2,4420000,580000,40990
Intentionet,15,4700000,3000000,42874
Markerly,8,1500000,800000,41653
Codeherent,3,1800000,499688,44013
"Storyvine, Inc.",18,5000000,,41671
Kitcast,6,4500000,500000,42929
HigherMe,49,2000000,1500000,42662
Workast,4,1000000,1850000,43146
RackN,21,2000000,,42644
Industry,620,5000000,2300000,42667
"Tapcentive, Inc.",9,3000000,300000,43560
Two,64,2000000,3031181,44238
Valid Network,22,1500000,6000000,44026
CloudSpot,8,2000000,400000,42720
Pumpjack Dataworks,37,5000000,300000,43740
"FaceTec, Inc.",35,3300000,5000000,41426
Kapiche,30,2300000,1183555,43712
affable.ai,54,2000000,2000000,44334
Witlingo,12,4400000,50000,44166
Marigold Health,34,2100000,6000000,44562
PropBidder,2,1000000,1000000,44593
Arcade,36,2400000,1500000,43343
Tuva,22,1000000,430000,41791
Seeloz,50,1000000,2450000,41851
HomeZada,4,1000000,2100000,41913
Daycation,16,3500000,,43221
ConverSight,51,3100000,4000000,44562
Tapru,2,4200000,60000,40909
CellARide,7,2000000,175000,42549
Homebase,160,3800000,500000,42936
GridCure,9,2200000,95000,41866
EyeLevel.ai,7,2000000,2000000,43518
Dropifi,2,2752000,50000,41409
DeepSource,39,2500000,2600000,43998
JobzMall,10,4000000,1500000,43118
Placements.io,40,3000000,3800000,43137
STELLARES,10,2100000,3500000,43396
Archilogic,26,4100000,1500000,42220
Buzz Solutions,16,1000000,,44035
MarketerHire,270,2000000,3000000,44134
theMednet,24,1000000,1300000,42917
"Bitmo, Inc.",18,1000000,3000000,43545
Everysk Technologies,22,1000000,1300000,43922
Bid Ops,66,2000000,1750000,43533
"Novo Labs, Inc.",22,3000000,2000000,43578
InnerTrends,10,2500000,150000,43668
"Switcher, Inc.",61,2500000,2400000,44228
VidGrid - The Leading Enterprise Video Platform,5,3000000,1500000,42963
testRigor,61,2000000,4100000,44409
"Backtracks, Inc.",7,2500000,2100000,43615
Disco,46,2000000,1700000,42560
Hatch Apps,9,3500000,300000,43230
"Intento, Inc.",69,2000000,3000000,43983
Cultivera,15,2400000,1000000,42705
Engagez,17,3000000,,44409
PatientWing,16,2400000,150000,42816
Evabot,52,3500000,300000,43579
WaitTime,17,1900000,914286,42898
3Data,12,2000000,1300000,44044
Cardiomo,6,2000000,100000,44061
AmigoCloud Inc.,8,2800000,25000,41834
Visage,36,2742000,2150000,42173
Bloq,41,4000000,250000,42614
Mode Mobile,88,4200000,1500000,41835
theMednet,24,1000000,1300000,42917
Strategic Blue,48,2400000,158843,41207
"WorkRails, Inc.",22,2000000,2300000,42653
Captiv8,180,4200000,2000000,42480
netBlazr,9,4084000,300000,42249
Froogal.ai,35,3000000,1000000,43802
Reloadly,69,2100000,750000,43739
datacy,13,1700000,2400000,44342
Petasense,21,4000000,1800000,42907
Sixa,11,3000000,3500000,42713
Senso.ai,26,1000000,3000000,44021
Visbit Inc.,12,1000000,3200000,42710
Givebutter,52,4200000,7000000,44713
Vyrill,14,2000000,3000000,44621
Metazoa,9,2000000,200000,43819
Hoozip.com,2,2400000,250000,42976
DocStation,23,2000000,3100000,44299
MarketerHire,270,2000000,3000000,44134
SightPlan,69,3500000,5000000,43556
"Switcher, Inc.",61,2500000,2400000,44228
MarketerHire,270,2000000,3000000,44134
RackN,21,2000000,,42644
Wisy,20,4705000,900000,44044
leapcure,31,4200000,125000,42622
Ordoro,18,4200000,1500000,42270
Helm - Own your data,3,2000000,4000000,42789
Mamenta,28,4800000,250000,43217
Cloud Dentistry,120,4000000,755000,43473
Get on Board,32,1000000,600000,43862
CloudForecast,5,1000000,180000,44348
Sigma Ratings,23,1100000,2400000,43283
Searchify.com,2,2000000,1600000,40651
StreamLoan,15,4000000,2000000,43145
jobZology®,5,3363000,750000,42801
Outlaw,12,1000000,2000000,43502
"ShearShare, Inc.",19,2000000,2300000,44144
Smore,34,2859000,1700000,41760
rezora,15,2800000,18000,40026
GovInvest,33,2000000,2172242,42748
Agency Spotter,12,4300000,230000,43837
Undock,20,2000000,1600000,44136
APOZY,28,1400000,2200000,43510
AkitaBox,48,1000000,50000,42514
MachEye,17,1212000,4600000,44105
